[ 0.58527295  0.41472705] 0.0
[ 0.59990833  0.40009167] 1.0
[ 0.62647515  0.37352485] 0.0
[ 0.58488521  0.41511479] 0.0
[ 0.48504409  0.51495591] 0.0
[ 0.39621284  0.60378716] 0.0
[ 0.45949055  0.54050945] 1.0
[ 0.64684225  0.35315775] 0.0
[ 0.62635458  0.37364542] 1.0
[ 0.59732878  0.40267122] 1.0
[ 0.59425592  0.40574408] 0.0
[ 0.6004792  0.3995208] 0.0
[ 0.84276493  0.15723507] 0.0
[ 0.51865039  0.48134961] 0.0
[ 0.62289548  0.37710452] 0.0
[ 0.67621459  0.32378541] 0.0
[ 0.64514847  0.35485153] 0.0
[ 0.65773049  0.34226951] 0.0
[ 0.67608549  0.32391451] 1.0
[ 0.52174939  0.47825061] 1.0
[ 0.53198733  0.46801267] 0.0
[ 0.64034561  0.35965439] 1.0
[ 0.60613518  0.39386482] 1.0
[ 0.67041203  0.32958797] 0.0
[ 0.40979499  0.59020501] 0.0
[ 0.60978792  0.39021208] 0.0
[ 0.4236291  0.5763709] 1.0
[ 0.49034136  0.50965864] 0.0
[ 0.58991809  0.41008191] 1.0
[ 0.67203649  0.32796351] 1.0
[ 0.61566488  0.38433512] 0.0
[ 0.6986843  0.3013157] 0.0
[ 0.58835739  0.41164261] 0.0
[ 0.56268365  0.43731635] 1.0
[ 0.64340197  0.35659803] 1.0
[ 0.68129892  0.31870108] 1.0
[ 0.67368438  0.32631562] 1.0
[ 0.40498438  0.59501562] 0.0
[ 0.41527605  0.58472395] 1.0
[ 0.50658405  0.49341595] 1.0
[ 0.5055932  0.4944068] 0.0
[ 0.65296664  0.34703336] 0.0
[ 0.50811212  0.49188788] 0.0
[ 0.42564218  0.57435782] 1.0
[ 0.43169597  0.56830403] 0.0
[ 0.40715408  0.59284592] 1.0
[ 0.59874958  0.40125042] 0.0
[ 0.64986566  0.35013434] 0.0
[ 0.39692705  0.60307295] 1.0
[ 0.40235334  0.59764666] 1.0
[ 0.57404843  0.42595157] 0.0
[ 0.61854435  0.38145565] 1.0
[ 0.51901237  0.48098763] 0.0
[ 0.51247809  0.48752191] 1.0
[ 0.41680809  0.58319191] 0.0
[ 0.67405947  0.32594053] 0.0
[ 0.61542752  0.38457248] 0.0
[ 0.40639324  0.59360676] 0.0
[ 0.40870749  0.59129251] 0.0
[ 0.50535875  0.49464125] 1.0
[ 0.61451934  0.38548066] 0.0
[ 0.67904738  0.32095262] 0.0
[ 0.60172934  0.39827066] 1.0
[ 0.6034107  0.3965893] 0.0
[ 0.64846877  0.35153123] 0.0
[ 0.41306273  0.58693727] 1.0
[ 0.42238761  0.57761239] 0.0
[ 0.42941814  0.57058186] 1.0
[ 0.67355764  0.32644236] 1.0
[ 0.40350627  0.59649373] 1.0
[ 0.59272275  0.40727725] 1.0
[ 0.41164678  0.58835322] 1.0
[ 0.59891886  0.40108114] 1.0
[ 0.38601193  0.61398807] 1.0
[ 0.40896151  0.59103849] 1.0
[ 0.66702521  0.33297479] 1.0
[ 0.41844393  0.58155607] 0.0
[ 0.60238023  0.39761977] 0.0
[ 0.43059275  0.56940725] 0.0
[ 0.43412122  0.56587878] 1.0
[ 0.42147507  0.57852493] 1.0
[ 0.4689503  0.5310497] 0.0
[ 0.52559625  0.47440375] 1.0
[ 0.39614246  0.60385754] 1.0
[ 0.51197208  0.48802792] 1.0
[ 0.59429269  0.40570731] 1.0
[ 0.4612238  0.5387762] 0.0
[ 0.38999482  0.61000518] 1.0
[ 0.62370117  0.37629883] 0.0
[ 0.39270846  0.60729154] 1.0
[ 0.67198392  0.32801608] 0.0
[ 0.59830375  0.40169625] 1.0
[ 0.6501049  0.3498951] 1.0
[ 0.54118994  0.45881006] 0.0
[ 0.48560611  0.51439389] 1.0
[ 0.6289914  0.3710086] 1.0
[ 0.60461744  0.39538256] 1.0
[ 0.51056452  0.48943548] 0.0
[ 0.41295058  0.58704942] 1.0
[ 0.57695831  0.42304169] 0.0
[ 0.67082292  0.32917708] 1.0
[ 0.5753833  0.4246167] 1.0
[ 0.47425781  0.52574219] 1.0
[ 0.42941814  0.57058186] 1.0
[ 0.41389872  0.58610128] 1.0
[ 0.67066408  0.32933592] 1.0
[ 0.58180038  0.41819962] 0.0
[ 0.67765449  0.32234551] 0.0
[ 0.49264148  0.50735852] 1.0
[ 0.66310191  0.33689809] 0.0
[ 0.48307502  0.51692498] 1.0
[ 0.40777327  0.59222673] 0.0
[ 0.63906925  0.36093075] 1.0
[ 0.66425381  0.33574619] 1.0
[ 0.68611073  0.31388927] 1.0
[ 0.63141621  0.36858379] 1.0
[ 0.58714417  0.41285583] 0.0
[ 0.5720021  0.4279979] 0.0
[ 0.61294801  0.38705199] 0.0
[ 0.4026466  0.5973534] 1.0
[ 0.40574438  0.59425562] 1.0
[ 0.68865408  0.31134592] 0.0
[ 0.46475249  0.53524751] 0.0
[ 0.43572327  0.56427673] 0.0
[ 0.55364417  0.44635583] 0.0
[ 0.42714331  0.57285669] 1.0
[ 0.60513297  0.39486703] 0.0
[ 0.51168087  0.48831913] 0.0
[ 0.61681258  0.38318742] 1.0
[ 0.42791499  0.57208501] 0.0
[ 0.81478582  0.18521418] 0.0
[ 0.55178976  0.44821024] 0.0
[ 0.68919873  0.31080127] 1.0
[ 0.53718759  0.46281241] 1.0
[ 0.5420064  0.4579936] 0.0
[ 0.57698411  0.42301589] 0.0
[ 0.44418192  0.55581808] 1.0
[ 0.67596692  0.32403308] 0.0
[ 0.85258267  0.14741733] 0.0
[ 0.41664137  0.58335863] 0.0
[ 0.44909192  0.55090808] 0.0
[ 0.43815621  0.56184379] 0.0
[ 0.3945647  0.6054353] 1.0
[ 0.67702934  0.32297066] 0.0
[ 0.41993824  0.58006176] 1.0
[ 0.58739912  0.41260088] 1.0
[ 0.42030698  0.57969302] 1.0
[ 0.65964288  0.34035712] 0.0
[ 0.60461722  0.39538278] 1.0
[ 0.45905262  0.54094738] 0.0
[ 0.59653349  0.40346651] 1.0
[ 0.49260207  0.50739793] 0.0
[ 0.42655708  0.57344292] 1.0
[ 0.5564439  0.4435561] 0.0
[ 0.57824482  0.42175518] 0.0
[ 0.43522656  0.56477344] 0.0
[ 0.61670492  0.38329508] 0.0
[ 0.62322777  0.37677223] 1.0
[ 0.54255625  0.45744375] 1.0
[ 0.60136491  0.39863509] 0.0
[ 0.69395053  0.30604947] 0.0
[ 0.39213714  0.60786286] 1.0
[ 0.56287463  0.43712537] 1.0
[ 0.4679951  0.5320049] 0.0
[ 0.58025064  0.41974936] 1.0
[ 0.70778218  0.29221782] 1.0
[ 0.59969413  0.40030587] 0.0
[ 0.4107714  0.5892286] 1.0
[ 0.4759127  0.5240873] 1.0
[ 0.49540052  0.50459948] 1.0
[ 0.6709471  0.3290529] 1.0
[ 0.45283372  0.54716628] 0.0
[ 0.40163586  0.59836414] 1.0
[ 0.62887805  0.37112195] 0.0
[ 0.62249759  0.37750241] 1.0
[ 0.54178483  0.45821517] 1.0
[ 0.56358858  0.43641142] 0.0
[ 0.49054689  0.50945311] 1.0
[ 0.56914535  0.43085465] 0.0
[ 0.67094449  0.32905551] 1.0
[ 0.54801908  0.45198092] 1.0
[ 0.46528403  0.53471597] 0.0
[ 0.43718332  0.56281668] 0.0
[ 0.65812988  0.34187012] 0.0
[ 0.60681831  0.39318169] 0.0
[ 0.65068724  0.34931276] 1.0
[ 0.43085046  0.56914954] 0.0
[ 0.50432035  0.49567965] 1.0
[ 0.60166507  0.39833493] 0.0
[ 0.39488609  0.60511391] 1.0
[ 0.71220731  0.28779269] 0.0
[ 0.60724548  0.39275452] 1.0
[ 0.63265436  0.36734564] 1.0
[ 0.59613402  0.40386598] 0.0
[ 0.51973975  0.48026025] 1.0
[ 0.58103976  0.41896024] 0.0
[ 0.43935389  0.56064611] 1.0
[ 0.39825614  0.60174386] 1.0
[ 0.56612082  0.43387918] 1.0
[ 0.38317629  0.61682371] 1.0
[ 0.58081871  0.41918129] 1.0
[ 0.54972481  0.45027519] 1.0
[ 0.59323455  0.40676545] 0.0
[ 0.83585889  0.16414111] 0.0
[ 0.60035797  0.39964203] 0.0
[ 0.54342341  0.45657659] 0.0
[ 0.41980019  0.58019981] 1.0
[ 0.57660009  0.42339991] 1.0
[ 0.55756582  0.44243418] 0.0
[ 0.41287927  0.58712073] 1.0
[ 0.65655942  0.34344058] 0.0
[ 0.49520669  0.50479331] 0.0
[ 0.69023631  0.30976369] 0.0
[ 0.59813799  0.40186201] 0.0
[ 0.40375926  0.59624074] 0.0
[ 0.59653103  0.40346897] 1.0
[ 0.54715689  0.45284311] 1.0
[ 0.59498712  0.40501288] 1.0
[ 0.66715029  0.33284971] 1.0
[ 0.5687393  0.4312607] 0.0
[ 0.61464178  0.38535822] 0.0
[ 0.42136228  0.57863772] 1.0
[ 0.61639009  0.38360991] 1.0
[ 0.42264405  0.57735595] 1.0
[ 0.48482865  0.51517135] 1.0
[ 0.57838737  0.42161263] 1.0
[ 0.56618646  0.43381354] 0.0
[ 0.40542008  0.59457992] 0.0
[ 0.56903307  0.43096693] 1.0
[ 0.60983576  0.39016424] 0.0
[ 0.46450803  0.53549197] 0.0
[ 0.59637897  0.40362103] 1.0
[ 0.47172349  0.52827651] 0.0
[ 0.41592948  0.58407052] 1.0
[ 0.59960145  0.40039855] 1.0
[ 0.59984954  0.40015046] 0.0
[ 0.42850169  0.57149831] 0.0
[ 0.45577179  0.54422821] 0.0
[ 0.38778689  0.61221311] 1.0
[ 0.6485192  0.3514808] 1.0
[ 0.44691745  0.55308255] 0.0
[ 0.57809893  0.42190107] 1.0
[ 0.58916711  0.41083289] 0.0
[ 0.69736155  0.30263845] 1.0
[ 0.46990483  0.53009517] 1.0
[ 0.67109058  0.32890942] 0.0
[ 0.67599158  0.32400842] 0.0
[ 0.53704989  0.46295011] 1.0
[ 0.59875963  0.40124037] 0.0
[ 0.64502754  0.35497246] 0.0
[ 0.68580228  0.31419772] 0.0
[ 0.59224749  0.40775251] 1.0
[ 0.42824433  0.57175567] 1.0
[ 0.61049251  0.38950749] 1.0
[ 0.53599561  0.46400439] 1.0
[ 0.75612174  0.24387826] 0.0
[ 0.46369525  0.53630475] 1.0
[ 0.61567831  0.38432169] 0.0
[ 0.60023699  0.39976301] 0.0
[ 0.6008614  0.3991386] 1.0
[ 0.51819629  0.48180371] 1.0
[ 0.60930406  0.39069594] 0.0
[ 0.39915309  0.60084691] 1.0
[ 0.43151031  0.56848969] 1.0
[ 0.61921173  0.38078827] 0.0
[ 0.4329443  0.5670557] 1.0
[ 0.59401469  0.40598531] 0.0
[ 0.45608854  0.54391146] 0.0
[ 0.58778496  0.41221504] 0.0
[ 0.56548454  0.43451546] 1.0
[ 0.52679787  0.47320213] 1.0
[ 0.60114433  0.39885567] 0.0
[ 0.66159151  0.33840849] 0.0
[ 0.46950999  0.53049001] 0.0
[ 0.58950249  0.41049751] 0.0
[ 0.47722513  0.52277487] 0.0
[ 0.59737642  0.40262358] 0.0
[ 0.60428595  0.39571405] 1.0
[ 0.61674512  0.38325488] 0.0
[ 0.4066468  0.5933532] 1.0
[ 0.67553779  0.32446221] 1.0
[ 0.56595727  0.43404273] 1.0
[ 0.59694818  0.40305182] 0.0
[ 0.42264405  0.57735595] 1.0
[ 0.78340549  0.21659451] 0.0
[ 0.53449628  0.46550372] 1.0
[ 0.41455152  0.58544848] 1.0
[ 0.65163587  0.34836413] 1.0
[ 0.56847878  0.43152122] 1.0
[ 0.45711124  0.54288876] 1.0
[ 0.64193303  0.35806697] 0.0
[ 0.59536303  0.40463697] 1.0
[ 0.41397009  0.58602991] 0.0
[ 0.56337894  0.43662106] 0.0
[ 0.66079686  0.33920314] 0.0
[ 0.44834616  0.55165384] 0.0
[ 0.44477214  0.55522786] 0.0
[ 0.39660509  0.60339491] 0.0
[ 0.39947575  0.60052425] 0.0
[ 0.39056502  0.60943498] 1.0
[ 0.4877636  0.5122364] 0.0
[ 0.41811662  0.58188338] 0.0
[ 0.41895553  0.58104447] 0.0
[ 0.57579113  0.42420887] 1.0
[ 0.4137865  0.5862135] 1.0
[ 0.64490855  0.35509145] 0.0
[ 0.42245939  0.57754061] 1.0
[ 0.58685889  0.41314111] 0.0
[ 0.69882625  0.30117375] 0.0
[ 0.68899191  0.31100809] 1.0
[ 0.69055286  0.30944714] 0.0
[ 0.55029419  0.44970581] 0.0
[ 0.59921092  0.40078908] 0.0
[ 0.529769  0.470231] 0.0
[ 0.46986259  0.53013741] 1.0
[ 0.66710631  0.33289369] 1.0
[ 0.51470384  0.48529616] 0.0
[ 0.65883475  0.34116525] 1.0
[ 0.68857453  0.31142547] 0.0
[ 0.66917074  0.33082926] 0.0
[ 0.51415071  0.48584929] 0.0
[ 0.57808486  0.42191514] 0.0
[ 0.52252047  0.47747953] 0.0
[ 0.70540941  0.29459059] 0.0
[ 0.443092  0.556908] 1.0
[ 0.50805943  0.49194057] 1.0
[ 0.43169597  0.56830403] 0.0
[ 0.43817377  0.56182623] 1.0
[ 0.3801009  0.6198991] 1.0
[ 0.49092004  0.50907996] 0.0
[ 0.50647938  0.49352062] 1.0
[ 0.4586579  0.5413421] 0.0
[ 0.57930987  0.42069013] 1.0
[ 0.41506176  0.58493824] 1.0
[ 0.49054687  0.50945313] 0.0
[ 0.53795599  0.46204401] 0.0
[ 0.4693084  0.5306916] 0.0
[ 0.62896622  0.37103378] 0.0
[ 0.58590191  0.41409809] 0.0
[ 0.63260148  0.36739852] 1.0
[ 0.5898364  0.4101636] 0.0
[ 0.47274532  0.52725468] 1.0
[ 0.43496824  0.56503176] 1.0
[ 0.41648114  0.58351886] 1.0
[ 0.66330602  0.33669398] 0.0
[ 0.405491  0.594509] 1.0
[ 0.42194662  0.57805338] 0.0
[ 0.58926622  0.41073378] 0.0
[ 0.53934147  0.46065853] 0.0
[ 0.46777129  0.53222871] 0.0
[ 0.54563413  0.45436587] 1.0
[ 0.66768024  0.33231976] 1.0
[ 0.68610587  0.31389413] 0.0
[ 0.56823982  0.43176018] 0.0
[ 0.38608166  0.61391834] 1.0
[ 0.40062597  0.59937403] 1.0
[ 0.41385787  0.58614213] 0.0
[ 0.59026697  0.40973303] 0.0
[ 0.41346024  0.58653976] 0.0
[ 0.56452655  0.43547345] 1.0
[ 0.39660509  0.60339491] 1.0
[ 0.55493805  0.44506195] 0.0
[ 0.41037466  0.58962534] 1.0
[ 0.65828113  0.34171887] 1.0
[ 0.57749099  0.42250901] 1.0
[ 0.63559751  0.36440249] 0.0
[ 0.61822959  0.38177041] 1.0
[ 0.65976747  0.34023253] 1.0
[ 0.60698827  0.39301173] 0.0
[ 0.6309676  0.3690324] 0.0
[ 0.90855194  0.09144806] 0.0
[ 0.39163622  0.60836378] 1.0
[ 0.61685638  0.38314362] 1.0
[ 0.66231223  0.33768777] 0.0
[ 0.41487803  0.58512197] 1.0
[ 0.50468621  0.49531379] 1.0
[ 0.59795908  0.40204092] 0.0
[ 0.55571839  0.44428161] 1.0
[ 0.5828212  0.4171788] 0.0
[ 0.64836256  0.35163744] 1.0
[ 0.67730919  0.32269081] 0.0
[ 0.57083373  0.42916627] 0.0
[ 0.68583567  0.31416433] 0.0
[ 0.5505955  0.4494045] 0.0
[ 0.40405285  0.59594715] 1.0
[ 0.55482321  0.44517679] 0.0
[ 0.57359408  0.42640592] 0.0
[ 0.45767304  0.54232696] 1.0
[ 0.42765772  0.57234228] 1.0
[ 0.57337846  0.42662154] 1.0
[ 0.6436273  0.3563727] 0.0
[ 0.65726471  0.34273529] 0.0
[ 0.4641461  0.5358539] 1.0
[ 0.59335237  0.40664763] 0.0
[ 0.56918186  0.43081814] 1.0
[ 0.48806549  0.51193451] 0.0
[ 0.39832665  0.60167335] 0.0
[ 0.55498357  0.44501643] 1.0
[ 0.44709804  0.55290196] 1.0
[ 0.60249134  0.39750866] 0.0
[ 0.61398719  0.38601281] 1.0
[ 0.56270453  0.43729547] 0.0
[ 0.43758397  0.56241603] 1.0
[ 0.61947203  0.38052797] 0.0
[ 0.41044585  0.58955415] 0.0
[ 0.50877826  0.49122174] 0.0
[ 0.61194864  0.38805136] 1.0
[ 0.58928789  0.41071211] 1.0
[ 0.390495  0.609505] 1.0
[ 0.52371581  0.47628419] 1.0
[ 0.64941016  0.35058984] 1.0
[ 0.41331756  0.58668244] 1.0
[ 0.40903262  0.59096738] 1.0
[ 0.59853988  0.40146012] 1.0
[ 0.4114635  0.5885365] 1.0
[ 0.45024789  0.54975211] 0.0
[ 0.53178659  0.46821341] 1.0
[ 0.62877533  0.37122467] 0.0
[ 0.40466027  0.59533973] 1.0
[ 0.5079158  0.4920842] 1.0
[ 0.56088907  0.43911093] 0.0
[ 0.60796617  0.39203383] 0.0
[ 0.42154681  0.57845319] 1.0
[ 0.45404994  0.54595006] 1.0
[ 0.40195919  0.59804081] 1.0
[ 0.5471028  0.4528972] 1.0
[ 0.63475408  0.36524592] 1.0
[ 0.56552816  0.43447184] 1.0
[ 0.59705238  0.40294762] 0.0
[ 0.60177077  0.39822923] 1.0
[ 0.41299141  0.58700859] 1.0
[ 0.43346042  0.56653958] 1.0
[ 0.41012038  0.58987962] 1.0
[ 0.6449715  0.3550285] 1.0
[ 0.61191917  0.38808083] 0.0
[ 0.56994775  0.43005225] 1.0
[ 0.64580202  0.35419798] 1.0
[ 0.58972919  0.41027081] 0.0
[ 0.57010396  0.42989604] 0.0
[ 0.61076418  0.38923582] 1.0
[ 0.58025846  0.41974154] 0.0
[ 0.60444836  0.39555164] 0.0
[ 0.64881531  0.35118469] 1.0
[ 0.47976204  0.52023796] 1.0
[ 0.57329596  0.42670404] 0.0
[ 0.61090552  0.38909448] 1.0
[ 0.67697729  0.32302271] 0.0
[ 0.53602173  0.46397827] 0.0
[ 0.43346042  0.56653958] 1.0
[ 0.62213451  0.37786549] 1.0
[ 0.49839993  0.50160007] 1.0
[ 0.57331572  0.42668428] 0.0
[ 0.52391226  0.47608774] 1.0
[ 0.57393554  0.42606446] 0.0
[ 0.53156653  0.46843347] 1.0
[ 0.67906636  0.32093364] 0.0
[ 0.60403498  0.39596502] 0.0
[ 0.68873679  0.31126321] 0.0
[ 0.70723699  0.29276301] 0.0
[ 0.58536946  0.41463054] 1.0
[ 0.46794291  0.53205709] 0.0
[ 0.63368562  0.36631438] 0.0
[ 0.50149314  0.49850686] 1.0
[ 0.51469557  0.48530443] 1.0
[ 0.57911424  0.42088576] 0.0
[ 0.51027641  0.48972359] 0.0
[ 0.64808716  0.35191284] 1.0
[ 0.42772973  0.57227027] 1.0
[ 0.57446995  0.42553005] 1.0
[ 0.61850041  0.38149959] 1.0
[ 0.5850319  0.4149681] 0.0
[ 0.66123047  0.33876953] 1.0
[ 0.47294185  0.52705815] 0.0
[ 0.56354856  0.43645144] 1.0
[ 0.6565737  0.3434263] 1.0
[ 0.41353159  0.58646841] 1.0
[ 0.62661739  0.37338261] 1.0
[ 0.59618125  0.40381875] 0.0
[ 0.64164166  0.35835834] 0.0
[ 0.58178298  0.41821702] 1.0
[ 0.67350452  0.32649548] 1.0
[ 0.66054646  0.33945354] 0.0
[ 0.4043768  0.5956232] 1.0
[ 0.59399946  0.40600054] 0.0
[ 0.4658666  0.5341334] 0.0
[ 0.66116901  0.33883099] 1.0
[ 0.39894144  0.60105856] 1.0
[ 0.51981315  0.48018685] 1.0
[ 0.67233632  0.32766368] 0.0
[ 0.63997027  0.36002973] 0.0
[ 0.66865182  0.33134818] 0.0
[ 0.5450367  0.4549633] 0.0
[ 0.63962244  0.36037756] 0.0
[ 0.57544729  0.42455271] 1.0
[ 0.59243201  0.40756799] 0.0
[ 0.68702973  0.31297027] 0.0
[ 0.55593968  0.44406032] 0.0
[ 0.60179123  0.39820877] 1.0
[ 0.54907495  0.45092505] 0.0
[ 0.53191766  0.46808234] 1.0
[ 0.42916065  0.57083935] 1.0
[ 0.63044523  0.36955477] 0.0
[ 0.40578499  0.59421501] 1.0
[ 0.4147352  0.5852648] 1.0
[ 0.72099913  0.27900087] 0.0
[ 0.66239058  0.33760942] 0.0
[ 0.59689598  0.40310402] 1.0
[ 0.40239383  0.59760617] 1.0
[ 0.66916119  0.33083881] 1.0
[ 0.69561897  0.30438103] 1.0
[ 0.63504057  0.36495943] 0.0
[ 0.65951403  0.34048597] 0.0
[ 0.41443925  0.58556075] 1.0
[ 0.60426466  0.39573534] 1.0
[ 0.56137786  0.43862214] 1.0
[ 0.58096258  0.41903742] 1.0
[ 0.39983891  0.60016109] 0.0
[ 0.58495874  0.41504126] 0.0
[ 0.53274602  0.46725398] 0.0
[ 0.62273817  0.37726183] 1.0
[ 0.60212563  0.39787437] 0.0
[ 0.50318364  0.49681636] 1.0
[ 0.55707694  0.44292306] 1.0
[ 0.42589913  0.57410087] 1.0
[ 0.50880919  0.49119081] 1.0
[ 0.62172631  0.37827369] 0.0
[ 0.61735212  0.38264788] 0.0
[ 0.66773683  0.33226317] 0.0
[ 0.69736231  0.30263769] 0.0
[ 0.67907996  0.32092004] 0.0
[ 0.52895621  0.47104379] 1.0
[ 0.5714337  0.4285663] 0.0
[ 0.59250586  0.40749414] 0.0
[ 0.66298111  0.33701889] 0.0
[ 0.59291809  0.40708191] 1.0
[ 0.63352381  0.36647619] 1.0
[ 0.5003518  0.4996482] 0.0
[ 0.38821616  0.61178384] 0.0
[ 0.58408536  0.41591464] 1.0
[ 0.52242343  0.47757657] 0.0
[ 0.41648114  0.58351886] 0.0
[ 0.41764626  0.58235374] 1.0
[ 0.72014517  0.27985483] 0.0
[ 0.5562134  0.4437866] 1.0
[ 0.54795074  0.45204926] 0.0
[ 0.39302932  0.60697068] 0.0
[ 0.66689671  0.33310329] 0.0
[ 0.5936047  0.4063953] 1.0
[ 0.57379442  0.42620558] 1.0
[ 0.62541274  0.37458726] 0.0
[ 0.63986514  0.36013486] 0.0
[ 0.66018449  0.33981551] 0.0
[ 0.61728026  0.38271974] 1.0
[ 0.57434782  0.42565218] 1.0
[ 0.40856531  0.59143469] 1.0
[ 0.6353856  0.3646144] 1.0
[ 0.60486582  0.39513418] 0.0
[ 0.69056454  0.30943546] 0.0
[ 0.58121221  0.41878779] 0.0
[ 0.52646342  0.47353658] 0.0
[ 0.4745162  0.5254838] 1.0
[ 0.618641  0.381359] 1.0
[ 0.62559024  0.37440976] 0.0
[ 0.54847381  0.45152619] 0.0
[ 0.63110389  0.36889611] 1.0
[ 0.64899007  0.35100993] 0.0
[ 0.68941096  0.31058904] 0.0
[ 0.54637903  0.45362097] 0.0
[ 0.6091588  0.3908412] 0.0
